student_id,gender,parental_education,lunch_type,test_prep_course,weekly_study_hours,attendance_rate,math_score,reading_score,writing_score
346,Male,Some College,Standard,Not Completed,7.2,79.7,87.9,77.3,76.6
347,Male,Bachelor's,Standard,Completed,5.8,82.3,78.4,82.4,83.7
348,Female,High School,Standard,Completed,4.5,93.8,87.9,92.8,88.2
349,Female,High School,Free/Reduced,Completed,6.3,100.0,76.8,78.1,83.2
350,Male,High School,Standard,Not Completed,8.8,92.8,81.3,83.9,62.8
351,Female,High School,Standard,Completed,4.7,87.5,76.8,74.5,68.0
352,Male,High School,Free/Reduced,Completed,3.1,90.0,91.2,89.1,83.3
353,Male,High School,Free/Reduced,Completed,7.2,80.0,68.4,55.3,61.2
354,Female,High School,Free/Reduced,Completed,4.8,94.8,87.1,86.4,90.3
355,Female,High School,Free/Reduced,Completed,0.7,97.1,83.7,76.8,79.4
356,Male,Some College,Standard,Not Completed,6.7,86.4,61.9,43.7,45.0
357,Female,High School,Standard,Completed,3.9,86.2,82.9,84.3,79.5
358,Female,Some College,Free/Reduced,Not Completed,4.8,92.1,49.2,39.5,43.1
359,Male,Some College,Free/Reduced,Completed,5.7,86.5,71.9,96.4,89.4
360,Male,Bachelor's,Standard,Not Completed,5.4,89.5,82.4,96.6,82.6
361,Female,High School,Free/Reduced,Not Completed,6.4,100.0,60.3,63.1,65.6
362,Male,Bachelor's,Standard,Not Completed,4.1,88.0,76.9,72.8,64.3
363,Male,Some College,Standard,Not Completed,6.0,87.1,88.5,98.8,81.8
364,Female,High School,Standard,Completed,4.5,84.8,72.9,77.6,73.3
365,Male,Bachelor's,Standard,Completed,6.5,96.0,80.8,65.8,73.9
366,Male,Master's,Standard,Not Completed,6.2,88.6,99.5,87.1,100.0
367,Female,High School,Standard,Not Completed,3.1,84.8,90.0,85.5,81.8
368,Female,High School,Free/Reduced,Not Completed,7.2,100.0,67.4,75.3,74.9
369,Male,Bachelor's,Standard,Not Completed,3.9,100.0,84.3,91.0,97.8
370,Male,Bachelor's,Standard,Not Completed,6.6,85.2,96.8,95.9,92.7
371,Female,High School,Free/Reduced,Not Completed,5.7,75.1,55.1,45.2,52.6
372,Female,High School,Free/Reduced,Completed,8.7,98.1,75.8,64.4,76.0
373,Female,Some College,Free/Reduced,Not Completed,4.6,84.5,74.9,81.3,69.1
374,Female,Some College,Free/Reduced,Not Completed,4.3,96.3,76.6,82.5,93.5
375,Male,Some College,Free/Reduced,Completed,5.0,74.2,68.1,63.3,70.4
376,Female,Some College,Standard,Not Completed,4.4,97.1,70.9,62.1,63.9
377,Female,Some College,Standard,Completed,6.6,80.3,94.0,100.0,92.5
378,Male,Bachelor's,Standard,Not Completed,1.8,95.8,66.1,64.5,59.3
379,Female,High School,Standard,Completed,2.9,90.1,75.9,68.6,78.0
380,Male,High School,Standard,Not Completed,2.9,82.4,61.6,67.1,66.2
381,Female,Bachelor's,Free/Reduced,Not Completed,6.9,86.7,90.1,87.3,96.4
382,Female,Bachelor's,Standard,Completed,8.4,95.5,100.0,92.8,99.2
383,Female,Some College,Standard,Not Completed,4.8,90.8,75.1,71.4,65.8
384,Male,Some College,Standard,Not Completed,4.7,94.7,91.3,79.6,81.4
385,Male,High School,Free/Reduced,Not Completed,5.1,100.0,61.3,71.3,66.7
386,Female,Some College,Standard,Completed,7.3,77.5,88.4,84.0,86.6
387,Male,Some College,Free/Reduced,Completed,3.1,100.0,42.9,38.8,43.9
388,Male,High School,Standard,Completed,5.5,90.8,79.4,74.6,67.8
389,Male,High School,Standard,Not Completed,7.0,82.8,75.2,62.1,73.8
390,Male,Some College,Standard,Not Completed,6.0,79.4,49.8,54.3,64.4
391,Male,High School,Free/Reduced,Not Completed,5.4,88.5,70.8,76.8,72.1
392,Male,High School,Standard,Not Completed,7.0,97.4,64.2,66.1,73.2
393,Female,High School,Free/Reduced,Not Completed,0.0,89.0,81.2,75.2,83.5
394,Female,High School,Standard,Not Completed,6.4,100.0,96.5,96.6,96.0
395,Male,High School,Standard,Completed,3.7,78.4,69.0,72.1,66.9
396,Female,Bachelor's,Free/Reduced,Not Completed,1.3,89.9,66.9,59.4,56.1
397,Female,Some College,Free/Reduced,Completed,6.0,80.0,71.5,66.2,70.8
398,Female,Bachelor's,Free/Reduced,Not Completed,7.7,92.9,69.5,58.9,74.0
399,Female,Bachelor's,Free/Reduced,Not Completed,4.7,97.1,69.3,74.2,69.5
400,Male,Some College,Free/Reduced,Not Completed,6.9,86.6,53.8,67.6,64.5
401,Female,High School,Free/Reduced,Completed,8.2,69.2,61.8,57.3,55.5
402,Female,Some College,Free/Reduced,Completed,7.6,91.6,92.2,84.9,80.6
403,Male,Some College,Free/Reduced,Completed,8.3,93.5,85.7,88.5,91.9
404,Male,Bachelor's,Free/Reduced,Completed,6.5,93.2,71.1,70.8,69.4
405,Female,Some College,Free/Reduced,Completed,5.2,99.9,83.5,83.9,91.8
406,Female,High School,Free/Reduced,Not Completed,1.8,81.4,55.0,53.3,47.7
407,Female,High School,Standard,Not Completed,4.5,95.4,77.8,75.6,74.1
408,Female,Some College,Free/Reduced,Completed,3.3,99.5,93.8,84.2,86.6
409,Female,Some College,Free/Reduced,Completed,9.3,75.8,69.0,68.5,74.8
410,Female,Some College,Standard,Not Completed,4.6,92.6,74.0,82.4,65.9
411,Male,Some College,Free/Reduced,Not Completed,5.2,86.0,58.7,60.8,51.9
412,Female,Master's,Standard,Not Completed,6.1,89.3,79.2,73.2,80.7
413,Female,Some College,Standard,Not Completed,5.1,92.8,67.7,73.8,68.1
414,Male,High School,Free/Reduced,Not Completed,8.4,86.1,55.2,57.1,57.0
415,Male,High School,Standard,Not Completed,3.8,84.6,68.3,60.0,57.1
416,Male,High School,Free/Reduced,Not Completed,5.4,90.3,50.7,43.3,41.7
417,Male,High School,Free/Reduced,Completed,3.5,81.3,56.8,52.5,51.3
418,Female,High School,Standard,Not Completed,2.4,81.3,66.0,61.6,58.7
419,Female,High School,Standard,Completed,3.8,95.4,81.1,66.1,72.3
420,Female,High School,Standard,Not Completed,4.9,80.8,63.9,57.1,58.4
421,Female,High School,Free/Reduced,Completed,4.1,95.3,73.4,62.7,72.7
422,Female,Bachelor's,Free/Reduced,Not Completed,3.6,93.7,76.9,73.7,76.0
423,Female,High School,Free/Reduced,Not Completed,2.2,76.2,61.5,65.0,76.2
424,Male,Some College,Standard,Not Completed,4.8,84.6,59.9,58.1,52.2
425,Female,Some College,Free/Reduced,Not Completed,2.0,99.6,39.1,44.7,55.7
426,Male,Master's,Standard,Completed,6.5,82.2,76.0,65.8,76.5
427,Male,High School,Free/Reduced,Completed,5.2,86.3,58.2,68.3,62.1
428,Female,Some College,Standard,Not Completed,2.1,93.7,70.4,60.2,63.9
429,Male,Master's,Free/Reduced,Completed,4.4,96.3,70.7,74.0,70.1
430,Female,Bachelor's,Standard,Not Completed,3.5,88.0,54.3,51.0,56.3
431,Male,Bachelor's,Free/Reduced,Completed,5.6,85.2,67.4,71.4,78.1
432,Female,High School,Standard,Not Completed,7.7,100.0,78.8,86.7,83.3
433,Male,High School,Free/Reduced,Not Completed,1.2,100.0,77.5,73.4,73.0
434,Female,Bachelor's,Free/Reduced,Not Completed,5.2,97.8,53.3,63.7,63.6
435,Female,Master's,Standard,Completed,4.7,90.7,86.3,81.2,72.5
436,Female,Some College,Free/Reduced,Not Completed,6.3,83.5,54.9,52.0,52.2
437,Female,Some College,Free/Reduced,Not Completed,5.4,83.4,56.5,62.6,68.6
438,Female,High School,Standard,Not Completed,3.5,94.2,53.9,57.6,51.6
439,Male,Bachelor's,Standard,Not Completed,4.4,93.3,89.7,80.5,76.0
440,Male,High School,Free/Reduced,Not Completed,3.4,100.0,40.4,46.2,45.8
441,Male,High School,Standard,Completed,7.2,95.2,73.3,74.1,74.1
442,Female,Some College,Standard,Not Completed,5.0,78.0,74.5,63.7,64.9
443,Male,Some College,Standard,Completed,8.8,98.4,91.0,82.3,87.1
444,Female,High School,Free/Reduced,Completed,4.9,82.0,97.3,94.0,95.1
445,Female,High School,Standard,Completed,3.6,86.9,79.9,72.8,74.0
446,Male,Some College,Free/Reduced,Completed,2.0,92.0,52.1,58.0,60.8
447,Male,High School,Free/Reduced,Completed,1.4,100.0,76.0,66.0,63.9
448,Female,Some College,Free/Reduced,Completed,1.8,100.0,56.2,53.5,42.9
449,Male,High School,Free/Reduced,Not Completed,5.5,94.9,69.4,66.9,63.6
450,Female,Some College,Standard,Not Completed,6.0,88.5,62.7,51.1,64.6
451,Female,Some College,Free/Reduced,Not Completed,1.8,94.3,81.7,76.2,71.9
452,Female,High School,Standard,Not Completed,6.8,97.1,68.9,73.0,66.6
453,Female,High School,Standard,Completed,4.0,87.4,68.1,69.1,74.3
454,Female,High School,Standard,Not Completed,5.3,100.0,69.1,68.9,58.1
455,Male,High School,Standard,Not Completed,8.2,91.8,100.0,92.1,98.9
456,Male,Master's,Free/Reduced,Completed,6.8,94.0,75.4,80.9,82.4
457,Female,High School,Free/Reduced,Not Completed,4.5,95.3,86.6,82.0,86.3
458,Female,Bachelor's,Standard,Completed,3.2,93.4,92.5,81.5,95.5
459,Male,High School,Standard,Not Completed,0.7,96.7,71.7,70.1,66.4
460,Male,Bachelor's,Free/Reduced,Not Completed,3.6,85.1,64.5,68.7,75.0
461,Female,Bachelor's,Standard,Completed,4.6,85.5,89.9,82.3,85.1
462,Male,Some College,Standard,Completed,3.0,81.2,59.9,42.4,46.7
463,Female,Some College,Standard,Not Completed,4.7,93.5,68.6,65.6,67.5
464,Male,Some College,Free/Reduced,Not Completed,5.2,96.2,73.4,79.3,77.4
465,Female,High School,Free/Reduced,Completed,4.6,93.7,65.5,73.1,79.4
466,Male,Master's,Standard,Not Completed,3.7,100.0,63.5,63.1,56.8
467,Female,Bachelor's,Standard,Completed,5.3,90.0,87.3,78.5,78.0
468,Male,Master's,Free/Reduced,Not Completed,5.9,95.3,98.3,100.0,100.0
469,Male,High School,Free/Reduced,Not Completed,2.8,81.3,73.2,67.3,70.2
470,Female,Bachelor's,Standard,Completed,7.8,86.9,81.3,86.7,88.7
471,Male,Master's,Free/Reduced,Completed,4.8,95.6,87.9,99.3,100.0
472,Female,High School,Standard,Completed,5.0,96.8,80.5,78.7,74.3
473,Male,High School,Standard,Completed,6.4,87.6,63.3,57.7,62.1
474,Female,Bachelor's,Free/Reduced,Completed,5.5,89.4,58.7,63.8,60.6
475,Male,Some College,Standard,Not Completed,6.9,77.9,94.7,91.9,90.5
476,Female,Bachelor's,Free/Reduced,Completed,5.6,87.1,76.3,66.3,74.4
477,Male,High School,Standard,Not Completed,3.8,97.1,75.1,63.3,70.5
478,Female,Bachelor's,Standard,Not Completed,5.7,94.6,66.6,71.3,70.1
479,Male,High School,Free/Reduced,Not Completed,2.7,94.0,79.2,92.2,77.7
480,Female,High School,Standard,Not Completed,5.2,90.4,89.2,91.9,92.5
481,Female,High School,Free/Reduced,Completed,4.9,90.1,100.0,94.7,89.2
482,Female,Bachelor's,Standard,Not Completed,4.6,84.7,78.4,67.8,67.8
483,Male,Bachelor's,Standard,Not Completed,4.7,95.6,82.9,76.3,84.0
484,Female,Some College,Standard,Not Completed,1.2,93.4,46.2,43.9,48.4
485,Male,Some College,Free/Reduced,Completed,3.9,93.9,85.5,95.5,100.0
486,Female,Bachelor's,Standard,Not Completed,5.2,85.8,64.8,51.7,63.7
487,Male,Some College,Free/Reduced,Not Completed,5.3,72.8,56.3,69.2,57.9
488,Female,Bachelor's,Standard,Completed,2.9,98.8,77.3,73.3,69.3
489,Male,Some College,Free/Reduced,Completed,7.5,86.2,66.7,73.6,67.9
490,Male,Some College,Standard,Not Completed,3.3,83.1,62.6,52.3,46.7
491,Female,Some College,Free/Reduced,Not Completed,6.9,95.5,66.2,62.0,58.1
492,Male,High School,Free/Reduced,Not Completed,5.9,86.9,58.0,51.5,55.8
493,Male,Bachelor's,Free/Reduced,Not Completed,3.7,98.5,61.3,61.2,53.7
494,Female,Some College,Free/Reduced,Completed,8.6,94.9,88.7,92.8,90.6
495,Male,High School,Free/Reduced,Not Completed,2.6,95.5,52.5,56.8,49.1
496,Male,Bachelor's,Free/Reduced,Not Completed,6.8,79.1,70.4,64.5,61.6
497,Male,Some College,Standard,Completed,7.0,99.7,96.5,97.7,100.0
498,Female,Some College,Standard,Completed,3.7,92.1,69.9,70.0,74.3
499,Male,Master's,Free/Reduced,Not Completed,7.8,87.0,66.8,59.4,67.5
500,Female,Some College,Free/Reduced,Completed,4.5,91.1,59.3,72.9,68.3
